player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,whiff_percent,sprint_speed,k_percent,bb_percent
Nick Gordon,624503,2023,,,,,,,,,,,50,,
Rafael Ortega,542364,2023,,,,,,,,,,,46,,
Luis Guillorme,641645,2023,,,,,,,,,,,11,,
Brett Wisely,689172,2023,,,,,,,,,,,65,,
Nick Gonzales,693304,2023,,,,,,,,,,,86,,
Tyler Soderstrom,691016,2023,,,,,,,,,,,13,,
Alex Kirilloff,666135,2023,,,,,,,,,,,48,,
Emmanuel Rivera,656896,2023,,,,,,,,,,,42,,
Corey Julks,667452,2023,,,,,,,,,,,77,,
Yuli Gurriel,493329,2023,,,,,,,,,,,45,,
Christopher Morel,666624,2023,71,36,85,89,32,77,95,91,92,2,81,10,49
Nick Allen,669397,2023,,,,,,,,,,,65,,
Manuel Margot,622534,2023,,,,,,,,,,,75,,
Ramón Urías,602104,2023,8,14,7,11,12,22,35,49,32,28,34,29,30
Isiah Kiner-Falefa,643396,2023,15,48,9,5,36,3,6,39,40,81,59,66,41
Nolan Gorman,669357,2023,80,24,87,94,56,81,97,77,86,5,30,6,83
Brandon Lowe,664040,2023,69,22,68,81,61,48,69,83,83,14,51,22,84
Cole Tucker,657061,2023,,,,,,,,,,,75,,
Cal Stevenson,670276,2023,,,,,,,,,,,23,,
Abraham Almonte,501659,2023,,,,,,,,,,,29,,
Robbie Grossman,543257,2023,25,12,10,17,58,22,34,28,27,77,62,38,92
Miguel Cabrera,408234,2023,18,36,16,12,32,7,11,44,29,46,1,61,49
Kevin Padlo,656821,2023,,,,,,,,,,,1,,
Jacob Amaya,676070,2023,,,,,,,,,,,25,,
Willi Castro,650489,2023,21,21,16,20,41,22,34,9,12,35,82,34,47
Anthony Bemboom,621532,2023,,,,,,,,,,,14,,
Manny Piña,444489,2023,,,,,,,,,,,2,,
Pete Crow-Armstrong,691718,2023,,,,,,,,,,,98,,
Forrest Wall,657088,2023,,,,,,,,,,,72,,
Alexander Canario,672744,2023,,,,,,,,,,,14,,
Brandon Marsh,669016,2023,45,21,27,39,67,37,56,81,87,39,82,11,88
Mike Moustakas,519058,2023,2,7,11,23,2,15,23,42,31,39,9,32,18
Harrison Bader,664056,2023,13,24,23,28,6,11,20,4,11,52,85,81,6
Freddie Freeman,518692,2023,98,99,98,90,98,92,72,63,58,75,34,83,68
Jake Fraley,641584,2023,54,61,35,27,77,19,30,1,9,57,69,71,65
Riley Greene,682985,2023,89,92,88,76,80,54,74,85,82,32,71,21,49
Ryan Kreidler,668952,2023,,,,,,,,,,,62,,
Weston Wilson,642215,2023,,,,,,,,,,,45,,
Luke Williams,663897,2023,,,,,,,,,,,76,,
Ryan O'Hearn,656811,2023,49,66,76,71,16,45,64,89,94,62,60,47,2
Abraham Toro,647351,2023,,,,,,,,,,,38,,
Ben Gamel,592325,2023,,,,,,,,,,,54,,
Brian Serven,661531,2023,,,,,,,,,,,9,,
Chris Owings,572008,2023,,,,,,,,,,,36,,
Cooper Hummel,669450,2023,,,,,,,,,,,48,,
Vinny Capra,681962,2023,,,,,,,,,,,58,,
Juniel Querecuto,578570,2023,,,,,,,,,,,36,,
Greg Allen,656185,2023,,,,,,,,,,,40,,
Johan Camargo,622666,2023,,,,,,,,,,,3,,
Jeff McNeil,643446,2023,14,42,9,4,35,2,2,5,5,98,51,99,18
Isan Díaz,656371,2023,,,,,,,,,,,1,,
Peyton Burdick,680814,2023,,,,,,,,,,,62,,
Josh Lester,623507,2023,,,,,,,,,,,16,,
Yonny Hernández,660634,2023,,,,,,,,,,,12,,
Drew Ellis,656403,2023,,,,,,,,,,,46,,
Tommy La Stella,600303,2023,,,,,,,,,,,3,,
Joc Pederson,592626,2023,90,66,82,81,92,62,79,91,96,52,27,59,91
Dalton Guthrie,656495,2023,,,,,,,,,,,82,,
Kyle Garlick,664247,2023,,,,,,,,,,,22,,
Canaan Smith-Njigba,675986,2023,,,,,,,,,,,15,,
Alec Burleson,676475,2023,65,85,68,52,58,17,26,60,51,91,12,95,26
